_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
128.852486,12.011530,0.828,1,,3,J083524.59+120041.5,,Im,5935-301-5-0084-0070,1237670965917515846,---,0,1237670965917515845,483787533586448,257,128.852486,0.401,12.011530,0.401,2005.9313,3,13.946,0.010,9.729,0.001,9.182,0.001,9.072,0.001,10.193,0.001,,,,,,,,,,,57887967815339624,0,3,2005.9313,13.946,0.010,12.748,0.001,12.688,0.002,3.47,0.08,-0.01,0.02,2.50,0.948,79.8,86711005430615656,0,3,2005.9313,9.729,0.001,9.688,0.001,9.678,0.001,5.04,0.13,0.21,-0.25,2.69,0.951,51.3,87161365393352705,0,3,2005.9313,9.182,0.001,9.173,0.001,9.166,0.001,6.51,0.12,0.38,-0.23,4.01,0.836,118.9,86711005430615246,0,3,2005.9313,9.072,0.001,9.077,0.001,9.061,0.001,5.68,0.27,0.16,0.16,5.25,0.957,85.5,87611725355984488,0,3,2005.9313,10.193,0.001,9.912,0.001,9.892,0.001,4.02,0.04,0.21,-0.24,2.90,0.872,111.7,,,,,,,0,0,,,,,
128.852547,12.011475,0.790,2,,3,J083524.61+120041.3,,Im,5815-301-1-0040-0171,1237670448371073195,---,0,1237670448371073193,554156277764112,1025,128.852547,0.399,12.011475,0.399,2005.8411,3,11.258,0.001,9.892,0.001,9.194,0.001,9.071,0.001,10.189,0.002,,,,,,,,,,,87611725355984488,0,3,2005.8411,11.258,0.001,11.014,0.001,11.002,0.001,3.38,0.06,-0.02,-0.02,2.12,0.943,157.1,87611725356089345,0,3,2005.8411,9.892,0.001,9.867,0.001,9.858,0.001,5.54,0.12,-0.22,0.39,3.71,0.993,169.4,87161365393352705,0,3,2005.8411,9.194,0.001,9.186,0.001,9.179,0.001,5.85,0.17,-0.27,0.33,4.11,0.892,113.5,86711005430615656,0,3,2005.8411,9.071,0.001,9.079,0.001,9.066,0.001,6.55,0.20,0.00,0.00,5.12,0.877,104.6,58781760817558734,0,3,2005.8411,10.189,0.002,9.899,0.001,9.882,0.002,3.72,0.02,0.01,0.03,2.62,0.994,173.0,,,,,,,0,0,,,,,
128.852551,12.011530,0.639,2,,3,J083524.61+120041.5,,Im,5182-301-1-0094-0073,1237667729660313673,---,0,1237667729660313672,483787533586448,1025,128.852551,0.400,12.011530,0.400,2005.1887,3,13.537,0.007,9.906,0.001,9.210,0.001,9.108,0.001,10.217,0.001,,,,,,,,,,,87611725355984897,0,3,2005.1887,13.537,0.007,12.182,0.001,12.139,0.002,3.55,0.05,-0.01,0.03,2.06,0.886,144.8,86711005430615656,0,3,2005.1887,9.906,0.001,9.834,0.001,9.824,0.001,5.39,0.18,-0.01,0.31,3.54,0.910,138.8,87161365393352705,0,3,2005.1887,9.210,0.001,9.162,0.001,9.153,0.001,5.93,0.19,-0.04,0.21,4.10,0.850,127.4,86711005430615656,0,3,2005.1887,9.108,0.001,9.062,0.001,9.049,0.001,6.05,0.18,0.25,-0.13,5.09,0.808,129.4,87611725355984897,0,3,2005.1887,10.217,0.001,9.812,0.001,9.793,0.001,3.52,0.01,0.16,-0.20,2.33,0.949,150.7,,,,,,,0,0,,,,,
