_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
126.204814,20.152984,0.382,1,,3,J082449.15+200910.7,,Im,6597-301-2-0207-0101,1237673807583314021,---,0,1237673807583314019,483785386627092,257,126.204814,0.401,20.152984,0.403,2006.8952,3,12.427,0.008,8.752,0.001,8.763,0.001,8.916,0.002,8.942,0.005,,,,,,,,,,,58788687740971010,0,3,2006.8952,12.427,0.008,10.830,0.011,10.731,0.022,3.77,0.09,0.00,0.00,1.89,1.000,39.5,86697041634673051,0,3,2006.8952,8.752,0.001,8.738,0.001,8.716,0.001,7.94,0.17,-0.20,0.05,4.96,0.318,69.1,87147401595731970,0,3,2006.8952,8.763,0.001,8.740,0.001,8.706,0.001,8.24,0.13,0.37,0.27,5.11,0.200,69.7,86697041632995330,0,3,2006.8952,8.916,0.002,8.893,0.001,8.816,0.001,9.38,0.26,0.28,0.18,6.47,0.600,14.8,86711115381726005,0,3,2006.8952,8.942,0.005,8.838,0.001,8.762,0.002,5.23,0.10,0.09,0.19,4.60,0.878,3.2,,,,,,,0,0,,,,,
126.204846,20.153002,0.277,2,,3,J082449.16+200910.8,,Im,4549-301-4-0090-0060,1237665012556365884,---,0,1237665012556365882,1609685293469712,1025,126.204846,0.400,20.153002,0.399,2004.2825,3,9.836,0.001,8.760,0.001,8.745,0.001,8.898,0.001,7.453,0.001,,,,,,,,,,,86711005430615656,0,3,2004.2825,9.836,0.001,9.715,0.001,9.691,0.002,4.18,0.05,-0.02,0.03,4.18,0.900,8.4,86697041634673051,0,3,2004.2825,8.760,0.001,8.744,0.001,8.707,0.001,9.82,0.50,0.12,0.10,11.50,0.922,81.7,87147401595575092,0,3,2004.2825,8.745,0.001,8.746,0.001,8.676,0.003,12.37,0.84,-0.11,0.06,11.00,1.000,54.6,86697041632838043,0,3,2004.2825,8.898,0.001,8.875,0.001,8.718,0.007,21.49,0.31,0.00,0.08,24.07,0.894,78.3,86711005430615656,0,3,2004.2825,7.453,0.001,7.317,0.001,7.299,0.001,4.69,0.08,0.00,0.00,3.29,0.823,98.4,,,,,,,0,0,,,,,
126.204888,20.152921,0.278,2,,3,J082449.17+200910.5,,Im,4576-301-4-0091-0150,1237665128520548502,---,0,1237665128520548467,343047931826484,1025,126.204888,0.396,20.152921,0.396,2004.2907,3,32.368,0.169,28.211,6.561,17.188,0.173,25.970,9.999,30.147,0.208,,,,,,,,,,,9007199449157905,1,6,2004.2907,32.368,0.169,24.489,79.000,23.422,99.900,2.97,,-64.38,-32.82,7.19,1.000,83.2,9007199449682197,1,6,2004.2907,28.211,6.561,25.116,42.747,24.915,99.900,2.97,,-64.36,-32.80,29.46,1.000,71.7,13538287102595376,0,3,2004.2906,17.188,0.173,24.491,99.900,21.623,62.000,2.97,,0.00,0.00,29.67,0.956,100.2,9008298927755537,1,6,2004.2906,25.970,29.499,24.362,0.983,24.362,5.933,2.97,,-64.37,-32.81,3.29,0.437,55.1,9007199407214609,1,6,2004.2907,30.147,0.208,23.013,59.330,20.564,92.000,4.43,4.42,-64.37,-32.81,3.21,1.000,134.3,,,,,,,0,0,,,,,
