_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
168.187834,0.347928,0.372,2,,3,J111245.08+002052.5,,Im,3563-301-4-0020-0041,1237660777714024489,---,0,1237660777714024488,483787534110736,1025,168.187834,0.396,0.347928,0.396,2002.9993,3,10.402,0.001,8.790,0.001,8.335,0.001,11.416,0.007,8.736,0.001,,,,,,,,,,,87611725356089755,0,3,2002.9993,10.402,0.001,10.219,0.001,10.202,0.001,4.14,0.04,-0.01,0.39,2.97,0.959,85.5,86697041632995329,0,3,2002.9993,8.790,0.001,8.772,0.001,8.758,0.001,6.97,0.00,-0.02,0.02,3.03,0.549,57.9,87147401595732379,0,3,2002.9993,8.335,0.001,8.331,0.001,8.318,0.001,7.29,0.09,0.00,0.00,2.94,0.994,78.4,29050966402652980,0,3,2002.9993,11.416,0.007,14.509,1.086,11.211,0.004,11.25,0.29,-0.02,-0.04,6.02,0.917,103.6,86711005430510388,0,3,2002.9993,8.736,0.001,8.566,0.001,8.549,0.001,4.59,0.05,-0.13,-0.05,2.62,0.966,103.6,,,,,,,0,0,,,,,
168.187937,0.347956,0.217,2,,3,J111245.10+002052.6,,Im,745-301-4-0063-0047,1237648674499002415,---,0,1237648674499002414,483787533586448,1025,168.187937,0.396,0.347956,0.396,1999.2150,3,10.789,0.001,9.216,0.001,8.819,0.001,13.425,0.011,9.111,0.001,,,,,,,,,,,58788687740813313,0,3,1999.2150,10.789,0.001,10.675,0.001,10.666,0.001,3.82,0.09,-0.08,0.45,2.57,1.000,91.1,86711005430615656,0,3,1999.2151,9.216,0.001,9.173,0.001,9.167,0.001,5.98,0.15,-0.19,0.06,2.95,0.987,13.9,87161365393352705,0,3,1999.2150,8.819,0.001,8.776,0.001,8.770,0.001,5.57,0.14,0.00,0.00,3.06,0.966,56.4,29064930200273307,0,3,1999.2150,13.425,0.011,15.039,0.033,11.747,0.009,8.25,0.24,-0.11,-0.01,5.92,0.966,98.7,87611725355984488,0,3,1999.2151,9.111,0.001,8.973,0.001,8.965,0.001,3.84,0.06,-0.05,0.00,2.25,0.933,122.2,,,,,,,0,0,,,,,
168.187943,0.347940,0.277,1,,3,J111245.10+002052.5,,Im,756-301-4-0350-0031,1237648721762451487,---,0,1237648721762451486,483787534110736,257,168.187943,0.396,0.347940,0.396,1999.2205,3,10.379,0.001,12.385,0.010,8.525,0.001,11.594,0.011,8.687,0.001,,,,,,,,,,,58788687740918171,0,3,1999.2205,10.379,0.001,10.267,0.001,10.256,0.001,4.03,0.09,-0.17,0.46,3.01,0.925,117.9,86711005430668084,0,3,1999.2205,12.385,0.010,12.250,0.001,12.099,0.004,6.64,0.20,-0.38,-0.08,3.30,0.586,136.0,87161365393404724,0,3,1999.2205,8.525,0.001,8.519,0.001,8.511,0.001,6.44,0.15,0.00,0.00,4.11,0.815,122.5,29064930200325736,0,3,1999.2205,11.594,0.011,15.206,0.060,11.369,0.008,10.12,0.21,-0.14,0.01,9.54,0.829,125.0,87611725355984897,0,3,1999.2205,8.687,0.001,8.564,0.001,8.554,0.001,4.15,0.07,-0.17,0.04,2.72,0.872,129.8,,,,,,,0,0,,,,,
