_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
126.898102,10.506565,0.212,2,,3,J082735.54+103023.6,,Im,5972-301-6-0078-0032,1237671125367783456,---,0,1237671125367783453,1609754012946452,1025,126.898102,0.049,10.506565,0.043,2006.0161,3,15.416,0.007,10.766,0.001,9.454,0.001,8.725,0.001,9.192,0.001,,,,,,,,,,,2251800082288656,0,3,2006.0161,15.416,0.007,14.371,0.013,14.142,0.008,1.77,0.05,0.00,-0.01,0.37,0.289,160.2,57887967815444481,0,3,2006.0161,10.766,0.001,10.722,0.001,10.719,0.001,4.53,0.12,0.18,-0.46,3.26,0.991,29.1,87147401595679950,0,3,2006.0161,9.454,0.001,9.412,0.001,9.407,0.001,4.83,0.14,0.03,-0.24,3.30,0.939,65.3,86711005430667675,0,3,2006.0161,8.725,0.001,8.689,0.001,8.682,0.001,8.76,0.41,-0.11,-0.29,5.21,0.921,171.8,87611725356089755,0,3,2006.0161,9.192,0.001,9.024,0.001,9.017,0.001,4.09,0.08,0.08,-0.25,2.47,0.885,66.4,,,,,,,0,0,,,,,
126.898163,10.506576,0.072,2,,6,J082735.55+103023.6,,Im,5921-301-6-0046-0037,1237670906322354213,---,0,1237670906322354210,483854139658256,1025,126.898163,0.053,10.506576,0.057,2005.9149,3,14.787,0.005,10.807,0.001,9.459,0.001,8.737,0.001,9.094,0.001,,,,,,,,,,,302022672,1,6,2005.9149,14.787,0.005,14.057,0.015,13.949,0.002,2.30,0.03,-0.01,0.02,0.39,0.304,157.5,58788687740918580,0,3,2005.9149,10.807,0.001,10.729,0.001,10.722,0.001,4.88,0.06,0.03,-0.65,2.81,0.923,109.6,87161365393352705,0,3,2005.9149,9.459,0.001,9.398,0.001,9.389,0.001,5.63,0.08,0.03,-0.25,2.71,0.979,28.3,86711005430668084,0,3,2005.9149,8.737,0.001,8.685,0.001,8.671,0.001,8.22,0.26,-0.06,-0.27,4.85,0.923,148.6,86711005430510798,0,3,2005.9149,9.094,0.001,8.902,0.001,8.884,0.001,4.39,0.05,-0.09,-0.29,2.46,1.000,59.0,,,,,,,0,0,,,,,
126.898174,10.506509,0.175,1,,3,J082735.56+103023.4,,Im,5935-301-3-0069-0043,1237670964842790955,---,0,1237670964842790950,483854139658256,257,126.898174,0.057,10.506509,0.051,2005.9313,3,16.264,0.011,10.786,0.001,9.389,0.001,8.685,0.001,8.809,0.002,,,,,,,,,,,2252074993745936,0,3,2005.9313,16.264,0.011,14.275,0.017,14.098,0.004,1.51,0.05,-0.01,0.02,0.29,0.050,166.7,58788687740918580,0,3,2005.9313,10.786,0.001,10.754,0.001,10.750,0.001,3.93,0.10,-0.34,0.35,2.65,0.900,125.6,87161365393352296,0,3,2005.9313,9.389,0.001,9.379,0.001,9.373,0.001,5.10,0.12,-0.14,0.41,2.66,1.000,60.2,87611725357816628,0,3,2005.9313,8.685,0.001,8.662,0.001,8.654,0.001,6.19,0.23,-0.24,0.37,4.56,0.949,127.6,58788687740813723,0,3,2005.9313,8.809,0.002,8.763,0.001,8.755,0.001,4.20,0.07,-0.12,0.39,3.70,0.983,118.8,,,,,,,0,0,,,,,
126.898224,10.506595,0.263,2,,3,J082735.57+103023.7,,Im,5824-301-6-0072-0057,1237670489712230457,---,0,1237670489712230456,483854139658256,1025,126.898224,0.048,10.506595,0.046,2005.8492,3,14.918,0.006,10.789,0.001,9.436,0.001,8.720,0.001,9.116,0.001,,,,,,,,,,,2251800115707920,0,3,2005.8492,14.918,0.006,14.010,0.019,13.851,0.002,1.79,0.02,-0.03,0.02,0.27,0.773,147.6,86711005430615656,0,3,2005.8492,10.789,0.001,10.713,0.001,10.708,0.001,4.71,0.07,-0.31,-0.67,2.78,0.940,72.3,87161365393352296,0,3,2005.8492,9.436,0.001,9.387,0.001,9.381,0.001,5.28,0.08,-0.35,-0.31,2.93,1.000,48.8,86711005430668084,0,3,2005.8492,8.720,0.001,8.682,0.001,8.676,0.001,6.51,0.12,-0.45,-0.37,5.12,0.921,159.2,86711005430510798,0,3,2005.8492,9.116,0.001,8.947,0.001,8.934,0.001,4.39,0.07,-0.40,-0.33,2.56,1.000,32.7,,,,,,,0,0,,,,,
