_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
128.073386,22.005896,0.748,1,,6,J083217.61+220021.2,,Im,6728-301-4-0129-0071,1237674371292659783,---,0,1237674371292659782,483856286617616,257,128.073386,0.064,22.005896,0.063,2007.1412,3,14.856,0.010,11.105,0.001,10.553,0.001,10.367,0.001,10.599,0.001,,,,,,,,,,,302022672,1,6,2007.1412,14.856,0.010,12.643,0.015,12.633,0.001,1.33,0.01,0.06,0.03,0.07,0.800,84.6,57887967815339624,0,3,2007.1412,11.105,0.001,11.047,0.001,11.047,0.001,3.77,0.06,0.07,-0.18,2.73,0.931,95.8,88062085318826804,0,3,2007.1412,10.553,0.001,10.494,0.001,10.494,0.001,3.74,0.05,-0.07,-0.22,2.57,0.988,160.6,86711005430615656,0,3,2007.1412,10.367,0.001,10.306,0.001,10.305,0.001,4.53,0.05,-0.05,-0.18,5.12,0.937,10.7,58788687740813723,0,3,2007.1412,10.599,0.001,10.392,0.001,10.392,0.001,2.93,0.03,0.03,-0.19,1.60,0.931,92.7,,,,,,,0,0,,,,,
128.073452,22.005939,0.480,2,,6,J083217.62+220021.3,,Im,4576-301-6-0107-0153,1237665129595338905,---,0,1237665129595338904,483856286617616,1025,128.073452,0.045,22.005939,0.046,2004.2907,3,14.526,0.008,11.048,0.001,10.577,0.001,10.383,0.001,10.892,0.002,,,,,,,,,,,302022672,1,6,2004.2907,14.526,0.008,12.659,0.019,12.645,0.001,1.44,0.01,0.06,0.03,0.05,0.950,103.5,58788687740813723,0,3,2004.2907,11.048,0.001,10.987,0.001,10.986,0.001,4.09,0.09,0.02,-0.64,3.47,0.704,86.2,59239047703550772,0,3,2004.2907,10.577,0.001,10.504,0.001,10.504,0.001,3.84,0.08,-0.23,-0.41,2.39,0.906,79.0,86711005430615246,0,3,2004.2907,10.383,0.001,10.325,0.001,10.324,0.001,4.16,0.06,-0.18,-0.36,3.72,0.740,78.6,58788687740813723,0,3,2004.2907,10.892,0.002,10.650,0.001,10.649,0.001,2.83,0.05,0.13,-0.25,1.52,0.863,96.3,,,,,,,0,0,,,,,
128.073467,22.005940,0.435,2,,6,J083217.63+220021.3,,Im,4517-301-2-0111-0070,1237664874045046854,---,0,1237664874045046853,483856286617616,1025,128.073467,0.059,22.005940,0.058,2004.2114,3,14.533,0.007,11.184,0.001,10.578,0.001,10.414,0.001,10.656,0.002,,,,,,,,,,,302022672,1,6,2004.2114,14.533,0.007,12.675,0.015,12.637,0.001,1.58,0.01,0.04,0.02,0.12,0.900,14.1,87611725355984897,0,3,2004.2114,11.184,0.001,11.092,0.001,11.088,0.001,3.63,0.04,-0.12,0.22,2.54,0.998,11.5,87161365393352705,0,3,2004.2114,10.578,0.001,10.500,0.001,10.496,0.001,4.34,0.05,-0.07,0.21,2.79,0.836,114.9,87611725356089755,0,3,2004.2114,10.414,0.001,10.335,0.001,10.329,0.001,4.19,0.06,-0.13,0.17,4.52,0.945,124.3,87611725355984897,0,3,2004.2114,10.656,0.002,10.409,0.001,10.404,0.001,2.88,0.03,-0.10,0.26,1.66,1.000,54.6,,,,,,,0,0,,,,,
