_RAJ2000,_DEJ2000,_r,mode,q_mode,cl,SDSS9,m_SDSS9,Im,SDSS-ID,objID,Sp-ID,SpObjID,parentID,flags,Status,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,e_zsp,f_zsp,Vdisp,e_Vdisp,spInst,spType,spCl,subClass,spS_N,uFlags,us,uc,uDate,u_mag,e_u_mag,upmag,e_upmag,uPmag,e_uPmag,uPrad,e_uPrad,uoRA,uoDE,udVrad,udVell,uPA,gFlags,gs,gc,gDate,g_mag,e_g_mag,gpmag,e_gpmag,gPmag,e_gPmag,gPrad,e_gPrad,goRA,goDE,gdVrad,gdVell,gPA,rFlags,rs,rc,rDate,r_mag,e_r_mag,rpmag,e_rpmag,rPmag,e_rPmag,rPrad,e_rPrad,roRA,roDE,rdVrad,rdVell,rPA,iFlags,is,ic,iDate,i_mag,e_i_mag,ipmag,e_ipmag,iPmag,e_iPmag,iPrad,e_iPrad,ioRA,ioDE,idVrad,idVell,iPA,zFlags,zs,zc,zDate,z_mag,e_z_mag,zpmag,e_zpmag,zPmag,e_zPmag,zPrad,e_zPrad,zoRA,zoDE,zdVrad,zdVell,zPA,pmRA,e_pmRA,pmDE,e_pmDE,sigRA,sigDE,M,N,g_O_,r_E_,g_J_,r_F_,i_N_
130.235276,10.422428,0.483,2,,3,J084056.46+102520.7,,Im,5824-301-4-0093-0035,1237670488639864867,---,0,1237670488639864866,483787533586448,1025,130.235276,0.400,10.422428,0.400,2005.8492,3,12.788,0.003,10.437,0.001,9.978,0.001,9.847,0.001,10.243,0.001,,,,,,,,,,,86711005430510798,0,3,2005.8492,12.788,0.003,11.620,0.001,11.615,0.001,2.71,0.03,-0.04,0.04,0.67,0.989,52.8,86711005430615656,0,3,2005.8492,10.437,0.001,10.319,0.001,10.315,0.001,4.91,0.05,-0.02,-0.36,1.88,0.992,108.6,87161365393352705,0,3,2005.8492,9.978,0.001,9.891,0.001,9.885,0.001,4.93,0.06,0.09,-0.31,2.70,0.894,160.8,57887967815444072,0,3,2005.8492,9.847,0.001,9.780,0.001,9.776,0.001,5.44,0.06,0.04,-0.34,3.19,0.845,157.1,87611725355984897,0,3,2005.8492,10.243,0.001,9.928,0.001,9.919,0.001,3.25,0.02,0.03,-0.32,1.76,1.000,44.8,,,,,,,0,0,,,,,
130.235289,10.422413,0.420,2,,3,J084056.46+102520.6,,Im,5921-301-4-0067-0031,1237670905249988639,---,0,1237670905249988638,483787533586448,1025,130.235289,0.400,10.422413,0.401,2005.9149,3,13.511,0.005,10.353,0.001,9.940,0.001,9.795,0.001,10.210,0.002,,,,,,,,,,,86485825449141864,1,6,2005.9149,13.511,0.005,11.609,0.001,11.602,0.001,2.47,0.01,-0.01,0.03,0.94,0.938,30.2,86711005430615656,0,3,2005.9149,10.353,0.001,10.307,0.001,10.301,0.001,4.78,0.06,0.01,-0.25,1.82,0.967,86.6,87161365393352705,0,3,2005.9149,9.940,0.001,9.898,0.001,9.891,0.001,5.40,0.06,-0.03,-0.21,1.82,0.950,59.0,57887967815444481,0,3,2005.9149,9.795,0.001,9.771,0.001,9.765,0.001,5.44,0.06,0.00,-0.27,3.28,0.843,69.0,87611725355984897,0,3,2005.9149,10.210,0.002,9.887,0.001,9.876,0.001,3.28,0.02,-0.01,-0.26,1.76,0.933,124.7,,,,,,,0,0,,,,,
130.235318,10.422341,0.311,1,,3,J084056.47+102520.4,,Im,5972-301-4-0099-0023,1237671124295417879,---,0,1237671124295417877,483787534110736,257,130.235318,0.399,10.422341,0.399,2006.0161,3,12.163,0.001,10.383,0.001,9.954,0.001,13.757,0.009,10.196,0.001,,,,,,,,,,,58788687740813723,0,3,2006.0161,12.163,0.001,11.825,0.001,11.821,0.001,2.71,0.01,-0.09,0.42,1.45,0.923,156.1,86711005430615656,0,3,2006.0161,10.383,0.001,10.325,0.001,10.321,0.001,4.64,0.07,0.04,0.04,2.69,0.948,174.5,58338327778181121,0,3,2006.0161,9.954,0.001,9.890,0.001,9.886,0.001,4.72,0.10,0.04,0.00,3.08,0.960,86.9,57887967815496910,0,3,2006.0161,13.757,0.009,12.542,0.002,12.482,0.005,5.24,0.10,-0.03,-0.02,4.78,0.897,165.8,58788687740813313,0,3,2006.0161,10.196,0.001,9.978,0.001,9.973,0.001,3.26,0.03,0.02,0.03,1.87,0.966,101.1,,,,,,,0,0,,,,,
